latitude,longitude,altitude,geometry,HID,Type,Kodomo,Name,Label,AgeS,AgeE,Full,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Add1,Add2,TEL,FAX,Owner,Ownership,Proof,Shanai,Y,X,url,Vacancy,VacancyDate
35.655039,139.334474,,Point,1068,認可保育所,,よろず保育園,よろず保育園,産休明け,,102,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,万町3-1,,,社会福祉法人月峰会,私,,,35.655039,139.334474,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.667561,139.30852,,Point,1069,認可保育所,,横川保育園,横川保育園,産休明け,,92,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:00まで,,Y,,,八王子市,横川町108,,,社会福祉法人共栄会,私,,,35.667561,139.30852,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.62352,139.309375,,Point,1070,認可保育所,,白百合寺田保育園,白百合寺田保育園,産休明け,,120,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,寺田町432-126,,,社会福祉法人愛和会,私,,,35.62352,139.309375,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.608425,139.381819,,Point,1071,認可保育所,,由木あすなろ保育園,由木あすなろ保育園,産休明け,,110,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,Y,,,八王子市,南大沢三丁目6-1,,,社会福祉法人花窓堂,私,,,35.608425,139.381819,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.609586,139.378708,,Point,1072,認可保育所,,南大沢保育園,南大沢保育園,産休明け,,129,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,南大沢四丁目11,,,社会福祉法人九頭竜会,私,,,35.609586,139.378708,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.686141,139.36044,,Point,1073,認可保育所,,わらべうつき台保育園,わらべうつき台保育園,産休明け,,160,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育20:00まで,,,,,八王子市,久保山町一丁目21,,,社会福祉法人清心福祉会,私,,,35.686141,139.36044,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.611275,139.370767,,Point,1074,認可保育所,,誠美保育園,誠美保育園,産休明け,,110,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,南大沢五丁目12,,,社会福祉法人誠美福祉会,私,,,35.611275,139.370767,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.617816,139.397912,,Point,1075,認可保育所,,やまと第一保育園,やまと第一保育園,産休明け,,120,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,別所二丁目32,,,社会福祉法人東やまと会,私,,,35.617816,139.397912,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.616463,139.370792,,Point,1076,認可保育所,,敬愛フレンド保育園,敬愛フレンド保育園,産休明け,,130,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,Y,,,八王子市,上柚木三丁目7,,,社会福祉法人敬愛学園,私,,,35.616463,139.370792,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.618505,139.393637,,Point,1077,認可保育所,,このみ保育園,このみ保育園,産休明け,,100,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,別所1丁目33-1,,,社会福祉法人のぞみの会,私,,,35.618505,139.393637,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.620513,139.37993,,Point,1078,認可保育所,,なみのり第二保育園,なみのり第二保育園,産休明け,,110,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,下柚木三丁目5,,,社会福祉法人長慶福祉会,私,,,35.620513,139.37993,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
